date,groupe,no,CSP,exam,q2,q3,q4,q5,q6,q6b,q6c,q7,q8,q9
2014-10-01,1,1,AS,pre,3,0,0,0,1,0,0,0,0,0
2014-10-01,1,2,IDE,pre,0,1,1,0,1,1,0,0,1,1
2014-10-01,1,3,IDE,pre,2,1,0,1,1,1,0,0,1,1
2014-10-01,1,4,IDE,pre,2,1,1,1,1,1,0,0,1,1
2014-10-01,1,5,AS,pre,2,1,1,1,1,0,0,0,0,0
2014-10-01,1,6,IDE,pre,0,1,1,1,1,1,0,0,1,0
2014-10-01,1,7,IDE,pre,3,1,1,1,1,1,0,0,0,1
2014-10-01,1,8,IDE,pre,2,0,1,1,1,1,0,0,1,1
2014-10-01,1,9,AS,pre,4,1,0,1,1,0,0,0,0,0
2014-10-01,1,10,AS,pre,3,1,0,1,1,1,0,0,0,0
2014-10-01,1,11,IDE,pre,0,1,1,0,1,1,1,0,0,0
2014-10-01,1,12,IDE,pre,4,1,0,1,1,0,0,1,0,0
2014-10-01,1,1,AS,post,4,0,0,1,1,1,1,1,1,1
2014-10-01,1,2,IDE,post,0,1,1,1,1,1,1,1,1,1
2014-10-01,1,3,IDE,post,0,1,0,0,1,1,1,1,1,1
2014-10-01,1,4,IDE,post,0,1,1,1,1,1,1,1,1,1
2014-10-01,1,5,AS,post,2,1,1,0,1,1,1,0,1,1
2014-10-01,1,6,IDE,post,0,1,1,1,1,1,1,1,1,1
2014-10-01,1,7,IDE,post,0,1,1,1,1,1,1,1,1,1
2014-10-01,1,8,IDE,post,0,1,1,1,1,1,1,1,1,1
2014-10-01,1,9,AS,post,4,1,0,1,1,1,1,1,1,1
2014-10-01,1,10,AS,post,0,1,0,1,1,1,1,1,1,1
2014-10-01,1,11,IDE,post,0,1,1,1,1,1,1,1,1,1
2014-10-01,1,12,IDE,post,2,1,1,1,1,1,1,1,1,1
2014-04-01,2,1,IDE,pre,0,1,1,1,1,1,1,1,1,1
2014-04-01,2,2,IDE,pre,0,1,0,0,1,0,0,0,1,0
2014-04-01,2,3,IDE,pre,0,0,0,0,1,0,0,0,0,0
2014-04-01,2,4,AS,pre,5,1,0,1,1,0,0,0,0,1
2014-04-01,2,5,IDE,pre,5,1,0,0,0,1,0,0,0,0
2014-04-01,2,6,AS,pre,4,0,0,0,1,1,0,0,1,0
2014-04-01,2,7,IDE,pre,0,1,0,1,1,1,1,0,0,1
2014-04-01,2,8,AS,pre,4,0,0,0,1,1,0,0,0,0
2014-04-01,2,9,AS,pre,0,1,0,1,1,0,0,1,1,1
2014-04-01,2,10,AS,pre,7,0,0,1,1,1,0,1,0,0
2014-04-01,2,1,IDE,post,0,1,1,1,1,1,1,1,1,1
2014-04-01,2,2,IDE,post,0,1,1,1,1,1,1,1,1,1
2014-04-01,2,3,IDE,post,0,0,0,1,1,1,1,1,1,1
2014-04-01,2,4,AS,post,4,1,0,1,1,0,1,1,1,1
2014-04-01,2,5,IDE,post,0,1,0,1,0,1,1,1,1,1
2014-04-01,2,6,AS,post,3,1,0,1,1,1,1,1,1,0
2014-04-01,2,7,IDE,post,0,1,1,1,1,1,1,1,1,1
2014-04-01,2,8,AS,post,3,0,1,1,1,1,1,1,1,1
2014-04-01,2,9,AS,post,0,1,1,1,1,1,1,1,1,1
2014-04-01,2,10,AS,post,0,0,1,0,1,1,1,1,1,1
